cue_id,source_family,acquisition_role_hint,source_category,commons_pageid,commons_title,source_page_url,media_url,thumbnail_url,media_type,width,height,creator,license_short,license_url,usage_terms,attribution,credit,description,date_time_original,retrieved_at,acquisition_only_not_ground_truth
commons-0001,shinto,threshold,Category:Torii in Japan,1133504,File:Hogonji13s3200.jpg,https://commons.wikimedia.org/wiki/File:Hogonji13s3200.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Hogonji13s3200.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/Hogonji13s3200.jpg/960px-Hogonji13s3200.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,2142,3200,663highland,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,Creative Commons Attribution 2.5,,Own work,"Hogonji in Nagahama , Shiga prefecture , Japan",2006-09-02,2026-09-23T09:57:56.351731+00:00,True
commons-0002,shinto,threshold,Category:Torii in Japan,3905419,File:Hokusai18 nobuto-beach.jpg,https://commons.wikimedia.org/wiki/File:Hokusai18_nobuto-beach.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Hokusai18_nobuto-beach.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/Hokusai18_nobuto-beach.jpg/960px-Hokusai18_nobuto-beach.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,3100,2110,Katsushika Hokusai,Public domain,,Public domain,,Unknown source Unknown source,"Part of the series Thirty-six Views of Mount Fuji , no. 18 .","1823 date QS:P571,+1823-00-00T00:00:00Z/9",2026-09-23T09:57:56.351731+00:00,True
commons-0003,shinto,threshold,Category:Torii in Japan,5607683,File:Kamotsuba-jinja Inari-jinja1.jpg,https://commons.wikimedia.org/wiki/File:Kamotsuba-jinja_Inari-jinja1.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Kamotsuba-jinja_Inari-jinja1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Kamotsuba-jinja_Inari-jinja1.jpg/960px-Kamotsuba-jinja_Inari-jinja1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,3264,2448,KENPEI,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Creative Commons Attribution-Share Alike 3.0,"I, KENPEI",KENPEI's photo,鴨都波神社 稲荷神社,2008-12-27,2026-09-23T09:57:56.351731+00:00,True
commons-0004,shinto,threshold,Category:Torii in Japan,6793572,File:KamojinjaSendai-haiden.jpg,https://commons.wikimedia.org/wiki/File:KamojinjaSendai-haiden.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/KamojinjaSendai-haiden.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/38/KamojinjaSendai-haiden.jpg/960px-KamojinjaSendai-haiden.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,3200,1800,Wkatsuhiro,Public domain,,Public domain,,Own work,宮城県仙台市泉区の 賀茂神社 の拝殿。参道より北北西に向いて撮影。,2009-05-13,2026-09-23T09:57:56.351731+00:00,True
commons-0005,shinto,threshold,Category:Torii in Japan,38311719,File:Kakegawa (5758993373).jpg,https://commons.wikimedia.org/wiki/File:Kakegawa_(5758993373).jpg,https://upload.wikimedia.org/wikipedia/commons/0/0b/Kakegawa_%285758993373%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/Kakegawa_%285758993373%29.jpg/960px-Kakegawa_%285758993373%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1723,1229,Utagawa Hiroshige,Public domain,,Public domain,,Flickr The Sandiego Museum of Art collection,"Accession Number: 1965.92.27 Display Artist: Utagawa Hiroshige Display Title: Kakegawa Series Title: ""Fifty-three Stations of the Tokaido Road, known as """"Kyoka Tokaido"""""" Suite Name: Tokaido gojusantsugi Creation Date: 1838-1840 Height: 5 11/16 in. Width: 8 in. Display Dimensions: 5 11/16 in. x 8 in. (14.45 cm x 20.32 cm) Publisher: Sanoya Kihei Credit Line: Gift of Mrs. Harold Rhody Witherbee Collection: <a href="" http://www.sdmart.org/art/our-collection/asian-art "" rel=""nofollow"">The San Diego Museum of Art</a>","between circa 1840 and circa 1842 date QS:P,+1840-00-00T00:00:00Z/8,P1319,+1840-00-00T00:00:00Z/9,P1326,+1842-00-00T00:00:00Z/9,P1480,Q5727902",2026-09-23T09:57:56.351731+00:00,True
commons-0006,shinto,threshold,Category:Torii in Japan,43961366,File:Japan and the Japanese illustrated (1874) (14779505494).jpg,https://commons.wikimedia.org/wiki/File:Japan_and_the_Japanese_illustrated_(1874)_(14779505494).jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Japan_and_the_Japanese_illustrated_%281874%29_%2814779505494%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/Japan_and_the_Japanese_illustrated_%281874%29_%2814779505494%29.jpg/960px-Japan_and_the_Japanese_illustrated_%281874%29_%2814779505494%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1852,1432,Internet Archive Book Images,No restrictions,https://www.flickr.com/commons/usage/,No known copyright restrictions,,https://www.flickr.com/photos/internetarchivebookimages/14779505494/ Source book page: https://archive.org/stream/japanjapaneseill00humb/japanjapaneseill00humb#page/n204/mode/1up,"Identifier : japanjapaneseill00humb ( find matches ) Title : Japan and the Japanese illustrated Year : 1874 ( 1870s ) Authors : Humbert, Aimé, 1819-1900 Bates, Henry Walter, 1825-1892 Hoey, Frances Cashel, 1830-1908 Subjects : Publisher : London : R. Bentley & son Contributing Library : University of California Libraries Digitizing Sponsor : Internet Archive View Book Page : Book Viewer About This Book : Catalog Entry View All Images : All Images From Book Click here to view book online to see this illustration in context in a browseable online version of this book. Text Appearing Before Image: fA. 181 bortlered with fine trees, whose interlacing brancliea form arcades like that of a Gothic^(^athedral. Through their foliage we distinguished a wide stone staircase, the suniuiitlost amid verdure. We ascended the staircase, wliith consists of one hundred steps very regularlylaid, to the top of the hill. On the right is another road, which crosses the Text Appearing After Image: ^■L^tiCbn^.: OUE.Vr TOKI UF ArA(ii>SA-YAMA. wooded slopes, and is composed of a series of staircases, with flat terraces providedwith irjwsoirs. A dilapidated oratory with two insignificant idols—one standing upon a lotus, theother seated upon a tortoise—with long covered galleries surrounding the tea-houses,occupies the summit of Atagosa-yama. The young waitresses of the house hasten to 182 LIFE IN JAPAN. serve lis with refreshments, and we take a few minvites rest before we approach thepavilions at the two extremities of the terrace. At length the moment has come when wc shall get a complete view of the greatcity. We begin at the southern pavilion, and we are at first dazzled by the extentand brilliancy of the picture. The sun is going down to the horizon in a cloudless Note About Images Please note that these images are extracted from scanned page images that may have been digitally enhanced for readability - coloration and appearance of these illustrations may not perfectly resemble the original work.",1874,2026-09-23T09:57:56.351731+00:00,True
commons-0007,shinto,threshold,Category:Torii in Japan,50048617,"File:The big torii at Itsukushima, Aki (NYPL Hades-2360075-4043874).tiff","https://commons.wikimedia.org/wiki/File:The_big_torii_at_Itsukushima,_Aki_(NYPL_Hades-2360075-4043874).tiff",https://upload.wikimedia.org/wikipedia/commons/7/76/The_big_torii_at_Itsukushima%2C_Aki_%28NYPL_Hades-2360075-4043874%29.tiff?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/The_big_torii_at_Itsukushima%2C_Aki_%28NYPL_Hades-2360075-4043874%29.tiff/lossy-page1-960px-The_big_torii_at_Itsukushima%2C_Aki_%28NYPL_Hades-2360075-4043874%29.tiff.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/tiff,6732,5077,Scan by NYPL,Public domain,,Public domain,,https://digitalcollections.nypl.org/items/c260bdb3-9b58-4552-e040-e00a18066d81,"The big torii at Itsukushima, Aki.",1907,2026-09-23T09:57:56.351731+00:00,True
commons-0008,shinto,threshold,Category:Torii in Japan,50048737,File:Fuji from Omiya (NYPL Hades-2360088-4043887).tiff,https://commons.wikimedia.org/wiki/File:Fuji_from_Omiya_(NYPL_Hades-2360088-4043887).tiff,https://upload.wikimedia.org/wikipedia/commons/a/a4/Fuji_from_Omiya_%28NYPL_Hades-2360088-4043887%29.tiff?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Fuji_from_Omiya_%28NYPL_Hades-2360088-4043887%29.tiff/lossy-page1-960px-Fuji_from_Omiya_%28NYPL_Hades-2360088-4043887%29.tiff.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/tiff,6732,5077,Scan by NYPL,Public domain,,Public domain,,https://digitalcollections.nypl.org/items/c260bdb3-9b65-4552-e040-e00a18066d81,Fuji from Omiya.,1907,2026-09-23T09:57:56.351731+00:00,True
commons-0009,shinto,threshold,Category:Torii in Japan,53622408,File:- panoramio (3367).jpg,https://commons.wikimedia.org/wiki/File:-_panoramio_(3367).jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/-_panoramio_%283367%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/-_panoramio_%283367%29.jpg/960px--_panoramio_%283367%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,4000,3000,Sato S,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-Share Alike 3.0,Sato S,https://web.archive.org/web/20161019201026/http://www.panoramio.com/photo/54725268,,Taken on 5 June 2011,2026-09-23T09:57:56.351731+00:00,True
commons-0010,shinto,threshold,Category:Torii in Japan,58433796,File:Kakegawa Gyosho Tokaido.jpg,https://commons.wikimedia.org/wiki/File:Kakegawa_Gyosho_Tokaido.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c0/Kakegawa_Gyosho_Tokaido.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c0/Kakegawa_Gyosho_Tokaido.jpg/960px-Kakegawa_Gyosho_Tokaido.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1600,1074,Utagawa Hiroshige,Public domain,,Public domain,,Museum of Fine Arts Boston,"Kakegawa: Junction with the Akiba Road (Kakegawa, Akibamichi oiwake no zu), from the series The Fifty-three Stations of the Tôkaidô Road (Tôkaidô gojûsan tsugi no uchi), also known as the Gyôsho Tôkaidô","between 1841 and 1844 date QS:P,+1841-00-00T00:00:00Z/8,P1319,+1841-00-00T00:00:00Z/9,P1326,+1844-00-00T00:00:00Z/9",2026-09-23T09:57:56.351731+00:00,True
