cue_id,source_family,acquisition_role_hint,source_category,commons_pageid,commons_title,source_page_url,media_url,thumbnail_url,media_type,width,height,creator,license_short,license_url,usage_terms,attribution,credit,description,date_time_original,retrieved_at,acquisition_only_not_ground_truth,short_side,flag_low_resolution,flag_tiny,flag_non_raster,flag_missing_creator,flag_missing_description,flag_missing_source_url,flag_missing_thumbnail,flag_nonstandard_license,flag_archival_or_diagram,technical_pass,n_hard_flags,n_soft_flags,manual_review_priority
commons-0037,shinto,household_display,Category:Kamidana,37271,File:Kamidana.jpg,https://commons.wikimedia.org/wiki/File:Kamidana.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Kamidana.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/c/cc/Kamidana.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,400,249,,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Creative Commons Attribution-Share Alike 3.0,,,,,2026-09-23T09:57:56.351731+00:00,True,249,True,True,False,True,True,False,False,False,False,False,1,2,12
commons-0184,buddhist,architecture_context,Category:Buddhist temples in Japan,11509208,File:Moya hisashi.svg,https://commons.wikimedia.org/wiki/File:Moya_hisashi.svg,https://upload.wikimedia.org/wikipedia/commons/2/27/Moya_hisashi.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Moya_hisashi.svg/960px-Moya_hisashi.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,600,600,Urashimataro,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-Share Alike 3.0,,Own work,"A drawing showing the floor plan of a Zen butsuden, with a 1-ken hisashi areound the moya (core) of the building.","Sepàtember 17, 2009",2026-09-23T09:57:56.351731+00:00,True,600,True,False,True,False,False,False,False,False,True,False,2,1,11
commons-0202,christian,architecture_context,Category:Churches in Japan,163406246,"File:Postkaart met foto van een kerk in puin na de aardbeving van 1923 te Japan, asset tMhaSMGYfVZHUaKsXJJpC60b.tif","https://commons.wikimedia.org/wiki/File:Postkaart_met_foto_van_een_kerk_in_puin_na_de_aardbeving_van_1923_te_Japan,_asset_tMhaSMGYfVZHUaKsXJJpC60b.tif",https://upload.wikimedia.org/wikipedia/commons/3/37/Postkaart_met_foto_van_een_kerk_in_puin_na_de_aardbeving_van_1923_te_Japan%2C_asset_tMhaSMGYfVZHUaKsXJJpC60b.tif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Postkaart_met_foto_van_een_kerk_in_puin_na_de_aardbeving_van_1923_te_Japan%2C_asset_tMhaSMGYfVZHUaKsXJJpC60b.tif/lossy-page1-960px-Postkaart_met_foto_van_een_kerk_in_puin_na_de_aardbeving_van_1923_te_Japan%2C_asset_tMhaSMGYfVZHUaKsXJJpC60b.tif.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/tiff,1455,2208,Unknown author Unknown author,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"Creative Commons Zero, Public Domain Dedication",,https://dams.antwerpen.be/asset/tMhaSMGYfVZHUaKsXJJpC60b,Title: Postkaart met foto van een kerk in puin na de aardbeving van 1923 te Japan Format original: hoogte 13.8 cm (geheel) breedte 9 cm (geheel) Type: ansichtkaart Category: uit de museumcollecties van MAS,Unknown date,2026-09-23T09:57:56.351731+00:00,True,1455,False,False,True,False,False,False,False,False,True,False,1,1,11
commons-0260,secular_control,street_context,Category:Streets in Kyoto,53546022,"File:Bamboo Grove, Kioto (3109908165).jpg","https://commons.wikimedia.org/wiki/File:Bamboo_Grove,_Kioto_(3109908165).jpg",https://upload.wikimedia.org/wikipedia/commons/9/99/Bamboo_Grove%2C_Kioto_%283109908165%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/9/99/Bamboo_Grove%2C_Kioto_%283109908165%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,606,760,New York Public Library,No restrictions,https://www.flickr.com/commons/usage/,No known copyright restrictions,,https://www.flickr.com/photos/nypl/3109908165/,"Digital ID: 110011. 189-? Source: [Album of photographs of Japan.] ( http://digitalgallery.nypl.org/nypldigital/explore/?col_id=169 ) Repository: The New York Public Library. Photography Collection, Miriam and Ira D. Wallach Division of Art, Prints and Photographs. See more information about http://digitalgallery.nypl.org/nypldigital/id?110011 and others at http://digitalgallery.nypl.org . Persistent URL: http://digitalgallery.nypl.org/nypldigital/id?110011 Rights Info: No known copyright restrictions; may be subject to third party rights (for more information, http://www.nypl.org/node/8314 )",2008-12-15 06:28:58,2026-09-23T09:57:56.351731+00:00,True,606,True,False,False,False,False,False,False,True,True,False,2,1,11
commons-0282,secular_control,household_display,Category:Tokonoma,114700452,File:AN EIGHT-MATTED PARLOUR. (1910) - illustration - page 047.png,https://commons.wikimedia.org/wiki/File:AN_EIGHT-MATTED_PARLOUR._(1910)_-_illustration_-_page_047.png,https://upload.wikimedia.org/wikipedia/commons/6/6f/AN_EIGHT-MATTED_PARLOUR._%281910%29_-_illustration_-_page_047.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/AN_EIGHT-MATTED_PARLOUR._%281910%29_-_illustration_-_page_047.png/960px-AN_EIGHT-MATTED_PARLOUR._%281910%29_-_illustration_-_page_047.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/png,1181,751,Unknown engraver,Public domain,,Public domain,,https://www.gutenberg.org/ebooks/65870,"Illustration from page 047 of AN EIGHT-MATTED PARLOUR. . Image reference: ""11"" Caption: ""AN EIGHT-MATTED PARLOUR.""",1910,2026-09-23T09:57:56.351731+00:00,True,751,True,False,False,False,False,False,False,False,True,False,1,1,11
commons-0006,shinto,threshold,Category:Torii in Japan,43961366,File:Japan and the Japanese illustrated (1874) (14779505494).jpg,https://commons.wikimedia.org/wiki/File:Japan_and_the_Japanese_illustrated_(1874)_(14779505494).jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Japan_and_the_Japanese_illustrated_%281874%29_%2814779505494%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/Japan_and_the_Japanese_illustrated_%281874%29_%2814779505494%29.jpg/960px-Japan_and_the_Japanese_illustrated_%281874%29_%2814779505494%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1852,1432,Internet Archive Book Images,No restrictions,https://www.flickr.com/commons/usage/,No known copyright restrictions,,https://www.flickr.com/photos/internetarchivebookimages/14779505494/ Source book page: https://archive.org/stream/japanjapaneseill00humb/japanjapaneseill00humb#page/n204/mode/1up,"Identifier : japanjapaneseill00humb ( find matches ) Title : Japan and the Japanese illustrated Year : 1874 ( 1870s ) Authors : Humbert, Aimé, 1819-1900 Bates, Henry Walter, 1825-1892 Hoey, Frances Cashel, 1830-1908 Subjects : Publisher : London : R. Bentley & son Contributing Library : University of California Libraries Digitizing Sponsor : Internet Archive View Book Page : Book Viewer About This Book : Catalog Entry View All Images : All Images From Book Click here to view book online to see this illustration in context in a browseable online version of this book. Text Appearing Before Image: fA. 181 bortlered with fine trees, whose interlacing brancliea form arcades like that of a Gothic^(^athedral. Through their foliage we distinguished a wide stone staircase, the suniuiitlost amid verdure. We ascended the staircase, wliith consists of one hundred steps very regularlylaid, to the top of the hill. On the right is another road, which crosses the Text Appearing After Image: ^■L^tiCbn^.: OUE.Vr TOKI UF ArA(ii>SA-YAMA. wooded slopes, and is composed of a series of staircases, with flat terraces providedwith irjwsoirs. A dilapidated oratory with two insignificant idols—one standing upon a lotus, theother seated upon a tortoise—with long covered galleries surrounding the tea-houses,occupies the summit of Atagosa-yama. The young waitresses of the house hasten to 182 LIFE IN JAPAN. serve lis with refreshments, and we take a few minvites rest before we approach thepavilions at the two extremities of the terrace. At length the moment has come when wc shall get a complete view of the greatcity. We begin at the southern pavilion, and we are at first dazzled by the extentand brilliancy of the picture. The sun is going down to the horizon in a cloudless Note About Images Please note that these images are extracted from scanned page images that may have been digitally enhanced for readability - coloration and appearance of these illustrations may not perfectly resemble the original work.",1874,2026-09-23T09:57:56.351731+00:00,True,1432,False,False,False,False,False,False,False,True,True,False,1,1,11
commons-0007,shinto,threshold,Category:Torii in Japan,50048617,"File:The big torii at Itsukushima, Aki (NYPL Hades-2360075-4043874).tiff","https://commons.wikimedia.org/wiki/File:The_big_torii_at_Itsukushima,_Aki_(NYPL_Hades-2360075-4043874).tiff",https://upload.wikimedia.org/wikipedia/commons/7/76/The_big_torii_at_Itsukushima%2C_Aki_%28NYPL_Hades-2360075-4043874%29.tiff?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/The_big_torii_at_Itsukushima%2C_Aki_%28NYPL_Hades-2360075-4043874%29.tiff/lossy-page1-960px-The_big_torii_at_Itsukushima%2C_Aki_%28NYPL_Hades-2360075-4043874%29.tiff.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/tiff,6732,5077,Scan by NYPL,Public domain,,Public domain,,https://digitalcollections.nypl.org/items/c260bdb3-9b58-4552-e040-e00a18066d81,"The big torii at Itsukushima, Aki.",1907,2026-09-23T09:57:56.351731+00:00,True,5077,False,False,True,False,False,False,False,False,True,False,1,1,11
commons-0008,shinto,threshold,Category:Torii in Japan,50048737,File:Fuji from Omiya (NYPL Hades-2360088-4043887).tiff,https://commons.wikimedia.org/wiki/File:Fuji_from_Omiya_(NYPL_Hades-2360088-4043887).tiff,https://upload.wikimedia.org/wikipedia/commons/a/a4/Fuji_from_Omiya_%28NYPL_Hades-2360088-4043887%29.tiff?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Fuji_from_Omiya_%28NYPL_Hades-2360088-4043887%29.tiff/lossy-page1-960px-Fuji_from_Omiya_%28NYPL_Hades-2360088-4043887%29.tiff.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/tiff,6732,5077,Scan by NYPL,Public domain,,Public domain,,https://digitalcollections.nypl.org/items/c260bdb3-9b65-4552-e040-e00a18066d81,Fuji from Omiya.,1907,2026-09-23T09:57:56.351731+00:00,True,5077,False,False,True,False,False,False,False,False,True,False,1,1,11
commons-0131,buddhist,small_wayside_structure,Category:Jizō-dō,10554971,File:NaraJizoutouge-odou20100605.JPG,https://commons.wikimedia.org/wiki/File:NaraJizoutouge-odou20100605.JPG,https://upload.wikimedia.org/wikipedia/commons/d/d6/NaraJizoutouge-odou20100605.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/d/d6/NaraJizoutouge-odou20100605.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,480,640,ys1979,Public domain,,Public domain,,作成者が撮影,奈良県吉野郡黒滝村地蔵峠にある地蔵堂,2010-06-05,2026-09-23T09:57:56.351731+00:00,True,480,True,True,False,False,False,False,False,False,False,False,1,0,10
commons-0148,buddhist,household_display,Category:Butsudan,1398809,File:Butsudan at ShinDo Buddhist Temple.jpg,https://commons.wikimedia.org/wiki/File:Butsudan_at_ShinDo_Buddhist_Temple.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Butsudan_at_ShinDo_Buddhist_Temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/a/aa/Butsudan_at_ShinDo_Buddhist_Temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,424,640,No machine-readable author provided. Gakuro assumed (based on copyright claims).,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Creative Commons Attribution-Share Alike 3.0,,No machine-readable source provided. Own work assumed (based on copyright claims).,Butsudan at ShinDo Buddhist Temple Photograph by Gakuro,24 November 2006 (original upload date),2026-09-23T09:57:56.351731+00:00,True,424,True,True,False,False,False,False,False,False,False,False,1,0,10
