source_family,acquisition_role_hint,source_category,n,technical_pass,low_resolution,non_raster,missing_creator,missing_description,archival_or_diagram,nonstandard_license,median_short_side
buddhist,architecture_context,Category:Buddhist temples in Japan,18,16,2,2,0,0,1,0,3060.0
buddhist,household_display,Category:Butsudan,18,16,2,0,1,1,0,0,2640.0
buddhist,small_wayside_structure,Category:Jizō-dō,18,17,1,0,0,0,0,0,3060.0
buddhist,votive_object,Category:Ema (Buddhism),18,17,1,0,2,2,0,0,2912.0
christian,architecture_context,Category:Churches in Japan,18,17,0,1,0,0,1,0,2440.0
mixed,portable_object,Category:Omamori,18,14,3,0,0,1,0,1,1905.0
mixed,purification_installation,Category:Chōzuya,17,16,1,0,1,1,0,0,2848.0
mixed,textual_object,Category:Omikuji,18,17,1,0,0,0,0,0,3024.0
secular_control,household_display,Category:Tokonoma,18,16,2,0,0,0,3,0,3552.0
secular_control,street_context,Category:Streets in Kyoto,18,17,1,0,0,0,1,1,2856.0
secular_control,street_object,Category:Bus stops in Japan,18,17,1,0,0,0,0,0,2190.5
secular_control,street_object,Category:Vending machines in Kyoto,18,17,1,0,0,2,0,0,2116.5
secular_control,threshold,Category:Gates in Japan,18,18,0,0,0,0,0,0,2694.0
shinto,boundary_marker,Category:Shimenawa,18,17,1,0,1,1,0,0,2348.5
shinto,embedded_streetscape,Category:Wayside Shrines in Kyoto,4,4,0,0,0,0,0,0,3024.0
shinto,household_display,Category:Kamidana,18,16,2,0,1,1,1,0,2520.0
shinto,threshold,Category:Torii in Japan,18,13,2,2,0,1,3,1,1878.0
shinto,votive_object,Category:Ema (Shinto),18,17,1,0,0,0,0,0,3264.0
