n_participants,n_cues,beta_interaction,power_two_way,rejection_naive,mean_beta_hat,sd_beta_hat,mean_se_two_way,mean_se_naive,se_inflation_two_way_over_naive
80,36,0.0,0.041666666666666664,0.36666666666666664,0.004810813339419528,0.04325434110921171,0.03992818282972521,0.023114885815440096,1.7273796266410413
80,36,0.05,0.25,0.4666666666666667,0.05060652838070235,0.04501672548621329,0.04200504575904886,0.024153769826595797,1.7390678995705657
80,36,0.1,0.6916666666666667,0.875,0.10408805725217923,0.04691987585548891,0.04091143567424462,0.024288563355442612,1.6843909240550918
80,36,0.15,0.9333333333333333,0.9833333333333333,0.14821434182367885,0.0443564495520663,0.040656044305077306,0.02349818895678073,1.7301777758215462
80,36,0.2,1.0,1.0,0.21045223510315506,0.04936843606657544,0.04004540768676531,0.023878290970527474,1.677063393531497
80,48,0.0,0.075,0.325,0.006421246626871938,0.03992201083240539,0.037901795800397514,0.02070896957942224,1.8302115735424698
80,48,0.05,0.275,0.6916666666666667,0.052849000212866606,0.04020962734503285,0.03672762349457894,0.02027809871979227,1.8111966019147174
80,48,0.1,0.7416666666666667,0.9,0.09595114909133824,0.039876103689754895,0.03643667640409793,0.020300670055795986,1.794850923834162
80,48,0.15,0.975,1.0,0.1480892408348426,0.04184684726681345,0.0374042925853691,0.020278781701772837,1.8445039320137804
80,48,0.2,1.0,1.0,0.19716722040956658,0.03767257117920104,0.03695666901261987,0.019966068608798803,1.8509737563625077
80,60,0.0,0.06666666666666667,0.4083333333333333,-0.004475610622464249,0.03711532064281197,0.03509388606052764,0.018166506905170594,1.9317905331893575
80,60,0.05,0.3,0.675,0.05084006315415947,0.0375920677825381,0.03485491136561385,0.017820369570600705,1.9559028350969787
80,60,0.1,0.8083333333333333,0.9916666666666667,0.1000595205121511,0.034351919975089934,0.03530649850697364,0.01820408417858489,1.9394822700560719
80,60,0.15,0.9916666666666667,1.0,0.147010875131975,0.03557094035492728,0.03404322331922093,0.01799855811236533,1.8914416980898392
80,60,0.2,1.0,1.0,0.20045598824703922,0.04253187501791593,0.03496138973638266,0.018408172364446616,1.899231984806204
80,72,0.0,0.041666666666666664,0.30833333333333335,-0.004980509780351056,0.032891879539396984,0.03288647566036694,0.016615471468762022,1.9792682815046976
80,72,0.05,0.325,0.7333333333333333,0.050642994544346336,0.03428126222991773,0.033164822375904034,0.016596185578607245,1.9983400534309543
80,72,0.1,0.825,0.975,0.09395249877599261,0.03219682374481574,0.03356219834216046,0.016635174716961396,2.017544084339559
80,72,0.15,0.9833333333333333,1.0,0.15434402899789454,0.03943679718871699,0.0326754911445094,0.01635542539160316,1.99783804836314
80,72,0.2,1.0,1.0,0.20363083366183374,0.033586911682879604,0.03294715704833098,0.016184447803307488,2.035729451430393
120,36,0.0,0.075,0.30833333333333335,0.002299882194153424,0.03896476319577184,0.03987399570354746,0.019442568657802452,2.0508604806981467
120,36,0.05,0.325,0.6166666666666667,0.050294440922557006,0.047015685699870136,0.03805758013795056,0.019124558742289386,1.9899847442647305
120,36,0.1,0.6833333333333333,0.8916666666666667,0.09861523575551974,0.045899333503906466,0.037882329600897,0.019126884937090576,1.9805802003564177
120,36,0.15,0.925,0.975,0.14959875467480588,0.046946204263687265,0.0393607175562003,0.01973216345140183,1.9947492150640989
